,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-01-04,11.001527786254883,4.701885223388672,4.898923873901367,3.6881942749023438,4.868389129638672,6.373298645019531,11.972457885742188,21.783567428588867,25.123764038085938,28.72981834411621,29.659156799316406,30.424053192138672,30.558073043823242,31.3685359954834,33.33695602416992,35.530426025390625,38.21477508544922,47.0343132019043,45.97440719604492,43.458988189697266,37.84139633178711,32.308876037597656,31.393550872802734,24.39154624938965
2016-01-05,22.013813018798828,20.41176986694336,18.212812423706055,16.562105178833008,17.124216079711914,18.796363830566406,25.77700424194336,34.9337158203125,38.685272216796875,37.71819305419922,36.40512466430664,36.79308319091797,34.88682556152344,35.19353485107422,36.74444580078125,38.721954345703125,43.230796813964844,52.84074401855469,50.80215072631836,43.730403900146484,37.78569412231445,31.964122772216797,30.5576114654541,24.00766944885254
2016-01-06,26.166532516479492,24.92431640625,23.784372329711914,23.346790313720703,23.464597702026367,24.51944351196289,30.6628475189209,39.48774337768555,43.17763137817383,42.55982208251953,40.323997497558594,40.005855560302734,37.36177444458008,37.43198776245117,38.32061767578125,39.90076446533203,43.32210159301758,51.45146942138672,50.10628890991211,45.300331115722656,40.33418655395508,35.66182327270508,34.1278076171875,28.233150482177734
2016-01-07,28.629419326782227,27.466901779174805,26.141130447387695,25.473535537719727,24.959819793701172,25.718002319335938,29.46753692626953,35.98406219482422,40.17336654663086,38.0085334777832,35.18193435668945,33.257694244384766,30.51203727722168,30.42193603515625,29.789770126342773,30.093156814575195,32.73265838623047,39.200130462646484,39.348960876464844,36.72616195678711,32.79939651489258,28.4147891998291,27.74797821044922,22.940326690673828
2016-01-08,16.793010711669922,13.364283561706543,12.22541332244873,12.355993270874023,13.469457626342773,14.451422691345215,17.54006576538086,23.019779205322266,25.939857482910156,25.779808044433594,23.49716567993164,22.74177360534668,22.7382755279541,23.553382873535156,26.37720489501953,27.61993980407715,31.630525588989258,41.51327896118164,46.38235855102539,42.10572814941406,37.31663131713867,33.58460235595703,34.04036331176758,28.89040756225586
2016-01-09,28.291709899902344,26.415027618408203,25.97290802001953,25.736038208007812,25.144384384155273,24.104267120361328,22.773462295532227,24.590137481689453,30.697654724121094,34.127769470214844,35.8918342590332,36.77275085449219,34.731990814208984,33.588134765625,31.656042098999023,32.08119583129883,34.34906005859375,41.531925201416016,42.4935188293457,37.804080963134766,32.77858352661133,30.165939331054688,31.329025268554688,26.432884216308594
2016-01-10,19.512577056884766,16.693130493164062,16.587970733642578,13.929631233215332,13.597077369689941,12.191977500915527,4.951374053955078,5.7563323974609375,12.307666778564453,16.99115753173828,19.77322769165039,21.28968048095703,19.93902587890625,19.83652114868164,20.728240966796875,20.503192901611328,23.44898223876953,32.21220397949219,37.22434997558594,35.31758117675781,31.45986557006836,29.52445411682129,31.914182662963867,26.51207160949707
2016-01-11,20.767610549926758,19.016342163085938,18.090713500976562,17.537004470825195,17.873571395874023,20.14036750793457,30.698392868041992,44.151344299316406,46.545738220214844,45.908573150634766,45.08940124511719,43.05842208862305,42.54452133178711,42.371524810791016,42.613563537597656,42.14186477661133,44.106632232666016,52.1207275390625,50.175270080566406,45.9589958190918,41.90478515625,34.46034240722656,31.79937171936035,25.444456100463867
2016-01-12,26.382810592651367,25.586139678955078,24.727327346801758,24.377479553222656,24.504613876342773,25.49523162841797,30.48105239868164,40.98847579956055,42.93754196166992,41.9867057800293,39.015445709228516,37.22624588012695,36.112239837646484,35.94952392578125,35.73342514038086,35.8392333984375,38.61145782470703,46.517948150634766,46.58351135253906,40.89177322387695,35.37937545776367,32.167972564697266,31.488407135009766,26.82332992553711
2016-01-13,18.638103485107422,15.209809303283691,13.869361877441406,14.742505073547363,15.96890640258789,16.462337493896484,21.76277732849121,30.350603103637695,32.950313568115234,32.08970642089844,31.025432586669922,32.12773132324219,31.30983543395996,32.21772384643555,33.43810272216797,35.44520950317383,37.18412780761719,46.46632385253906,48.187721252441406,42.733802795410156,36.88584518432617,32.732112884521484,32.23252868652344,28.105243682861328
